Domain,Have_IP,Have_At,URL_Length,URL_Depth,https_Domain,TinyURL,Prefix/Suffix,DNS_Record,Web_Traffic,Domain_End,iFrame,Mouse_Over,Right_Click,Web_Forwards,Label
detorbic.shop,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
dv247.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
lakecounty.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
mksat.net,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
dwuser.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
landerbearcats.com,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
laiwu.net,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
mcdonalds.it,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
abeonatherapeutics.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
osram.it,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
trailcampro.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
dailykostv.com,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
tektronic.co.uk,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
koreancultureinsights.cyou,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
ticktocktech.com,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
screensaver.media,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
pranichealing.com,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
exercisebiology.com,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
deltadentalok.org,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
yifan0901.cn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
customessayorder.com,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
litcult.ru,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
ib-eng.ru,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
mediamint.com,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
distant-college.ru,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
techtoreview.com,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
superproxy-con.pro,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
zms23.cn,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
pin-up-casino-sl3.xyz,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
goldandgreentaxi.com,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
gdnsdef.net,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
plumoi.jp,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
historicmilwaukee.org,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
vaginacontest.com,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0
oxyco.ru,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
instytutsprawobywatelskich.pl,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
avon.sk,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
cabinetlenail.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
pv.it,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
schotel.nl,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
whaleresearch.com,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
bijuterii-eshop.ro,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
awsdns-cn-14.cn,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
pen-vape.com,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
momra.gov.sa,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
politic365.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
protexin.hu,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
sakaseru.jp,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
cqruiquan.com,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ugc.ac.in,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
bocil.wiki,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
gorillaplay.net,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
fbr.com.au,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
beatthefish.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
aorlov.ru,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
bonlook.ca,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
gazetekarinca.com,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
candybox.com.tw,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
danceinforma.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
britishperioddramas.com,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
blessedbeyondadoubt.com,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0
royuhyx.cn,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
sfsketchfest.com,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
mercedes-benz.jp,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
byoinnavi.net,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
voltaicideas.net,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
baanienterprises.com,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
elitehairstudio.com,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
bongonote.com,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
schluesseldienst-steinfurt-24.de,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
admiralx-v0j.buzz,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
superplanshet.ru,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
eurosport.hu,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0
campingcard.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
cypherscans.xyz,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
onlinevulkanklub.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
toyo-seikan.co.jp,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
simbaly.com,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ciob.org,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
jardinjapones.org.ar,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
giadung.info,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
bjwlzc.com,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
bjorklund.no,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
elagin-estate.ru,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
clip.fail,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
cashgamblz24vylkan.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
pro-balanse.ru,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
cymstar.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
vapetank.biz,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
harpersbazaar.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
forestriverforums.com,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
eldoradocasino-jsg.top,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
admiralxcasinousdc.space,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
e1dorado-cazino.club,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
nill-griffe.com,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
cadeauxfolies.fr,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
collegevine.com,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
charlotteturks.org,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
mariatariq.com,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
jdcateringservice.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
gaffneyledger.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
modzero.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
marcopolis.net,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
unilock.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
braiconf.ro,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
spinamba-casino.com,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
urur3.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
rajamaniagates.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
xayanzhixin.com,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
escriba.es,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
theflowspace.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
brussels-expo.com,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
cdsjdj.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
collegeessayadvisors.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
skvacations.com,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ippon.tech,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
wmivsyr.top,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
schildklier.nl,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
aucfan.com,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
fhclm.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
wxftpxt.cn,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
radheexch.club,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
houstonitpartners.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
flamesrising.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
walloasis.com,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
hamraazpayslip.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
zalora.com.my,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
marca.es,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
geass.jp,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
fdnbe666df6.shop,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
orissimo.it,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
tradeonlytoday.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
obits.com.au,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
ningxudianzi.com,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
encircled.ca,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
promptbase.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
pornchat.stream,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
stellarworks.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
laketravis.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
kocaeliotel.org,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
tolradns.net,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
buscaonibus.com.br,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
increment.com,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
madainchina.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
119.gov.cn,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
ahmedquran19.xyz,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
floppydata.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
kansassampler.org,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
citysafari.nl,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
deshenglan.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
oitr.jp,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
ggmvkbo.cn,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
thefaq.gr,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
discussdepot.education,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
mencaripntlqq.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
warrelics.eu,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
kondular.com,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
ssclinicalservices.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
restauracjamargherita.pl,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
00a4g.top,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
ero-labs.website,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
logostour.pl,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
meshki-dlya-musora-i.ru,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
waterfrontconcerts.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
capemaychamber.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
business.gov.in,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
fettes.com,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
beginnerscbd.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
buildmjk.com,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
kagi.com,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
mesekonyvbolt.hu,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
detikakdeti.ru,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
acpinternist.org,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
birdseye.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
liebianbaohe.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
luckybird-cazino.press,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
sset.co.kr,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
aol.net,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
313168.top,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
steroide-musculation.com,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
njfutai.com,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
directsave.co.uk,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
data-one.jp,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
betphoenix.ag,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
ippfwhr.org,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
nexusdb.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
blackaudio.net,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
autoimg.cn,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
accessng.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
paulbrothersmobilewash.com,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
webprofits.com.au,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
bestcialis20mg.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
abidjantv.net,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
dailymarketsolution.com,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
plinkocroatia.top,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
casinofresh-ate11.top,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
anchoria-share.com,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
sisga.com.co,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
nokovandson.com,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
povertyactionlab.org,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
atlasbeachfest.com,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
vegas.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lcolumnstoodthe.info,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
masukjepe138l.com,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
wallboard.info,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
stackabuse.com,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
nelenprozelen.cz,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
alightmotionhd.com,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0
nsbm.ac.lk,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
datingappcritic.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
charities.gov.sg,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
adventuresembroidery.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
kolhoz.one,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
cnncy.cn,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
infocommshow.org,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
zhaoqing.gov.cn,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
perugiaonline.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
grand-casino.click,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
newscenter1.tv,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
outplayhq.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
kaleenaskitchen.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
gamebubbles2.space,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
web-hosting-top.com,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
sinclair.com,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
livingoncookies.com,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
artscentre.org.nz,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
onepulse.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
aalaoka.cn,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
netglobal.eu,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
vaavn.com,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
neuronesconnection.fr,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
footage.net,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
maskworld.com,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
nw-team.de,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
paivola.fi,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
telugustop.com,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
o-time.ru,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
lanhaiyichuang.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
northstarplumbing.net,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
particlecomm.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
theaterkikker.nl,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
thetemplebarpub.com,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
pribor-electro.ru,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
leece.im,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
linuxfestnorthwest.org,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
rf-ss.com,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
complexbar.ru,0,0,0,0,0,0,0,1,1,1,0,1,0,0,0
magura.ro,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
thevancamper.com,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
fan-pele-az.com,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
cablevision.at,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
pwvip37278.com,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
osronline.com,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
farmweekly.com.au,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
danganmijijia360.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0kwjasras.site,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
interlinkexpress.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
qlmi.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
realvent.ru,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
avtousluga.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
jesuisundev.com,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
emall.by,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
ywam.org,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
smaprendizaje.com,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
nexilia.it,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
carinsurancecompanies.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
mycelial.nexus,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
kilian-mbappe.com.az,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0
1-wincazinoz-mobile.space,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
r4.com,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
kleeberg.cloud,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
artek.fi,0,0,0,0,0,0,0,1,1,0,1,0,0,0,0
centerpoint.com,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0
advanced-monolithic.com,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
entrepreneurmag.co.za,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
belugagroup.ru,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
gviet.vn,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
livejasmin.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fonegeek.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
toolworld.in,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
je-eigen-domein.nl,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
enterprisenetwork.co.th,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
kgl-systems.io,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
vampiredormitorymanga.online,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
bathroomrenovationswollongong.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
territoriodigital.com,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
bmpinpai.com,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
soundproector.su,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
imuraya.co.jp,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
ingyensexfilm.hu,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
glamourandgraceblog.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
pafikotamalinau.org,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
kockw.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
reoxfbr.cn,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
eldorados-casino.xyz,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
disabilityrightswa.org,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
haruya-sh.com,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
dobrawww.pl,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
telematicsct.com,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
iaeste-darmstadt.de,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0
goodbye-microsoft.com,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0
eiuk.de,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
subaruonlineparts.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
d84og.cn,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clickindia.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
lentils.org,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0
intermin.fi,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
itongzhuo.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
xtv.lv,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0
haolyb.best,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
psxkmfy.cn,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
buttersafe.com,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
firstbytedns.net,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
onephisigmasigma.org,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
healing-crystals-for-you.com,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0
xyxiaoyuan.com,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
vb9633t.net,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0
